sample_id,species,leaf_length_cm,chlorophyll_index,is_healthy
1,Tomato,2.4,0.334,False
2,Tomato,12.83,0.858,True
3,Maize,2.51,0.18,False
4,Soybean,2.42,0.269,False
5,Soybean,8.71,0.482,False
6,Tomato,14.14,0.236,False
7,Pepper,4.49,0.914,True
8,Tomato,8.08,0.405,False
9,Pepper,14.91,0.72,True
10,Maize,3.26,0.349,False
11,Pepper,11.24,0.699,True
12,Potato,14.37,0.937,True
13,Tomato,8.08,0.485,True
14,Potato,7.92,0.278,False
15,Tomato,11.75,0.245,False
16,Potato,9.4,0.329,False
17,Soybean,5.51,0.376,False
18,Tomato,5.66,0.127,False
19,Pepper,3.06,0.876,True
20,Pepper,5.4,0.524,True
21,Maize,4.29,0.219,False
22,Soybean,6.2,0.597,True
23,Maize,7.79,0.948,True
24,Maize,3.45,0.14,False
25,Potato,14.67,0.459,False
26,Maize,11.53,0.498,False
27,Soybean,15.77,0.11,False
28,Soybean,14.01,0.753,True
29,Pepper,8.96,0.486,True
30,Pepper,17.55,0.748,True
31,Tomato,15.93,0.354,False
32,Soybean,5.18,0.418,False
33,Soybean,16.7,0.609,True
34,Tomato,16.87,0.847,True
35,Pepper,5.83,0.305,False
36,Tomato,3.37,0.513,False
37,Soybean,14.25,0.209,False
38,Soybean,4.64,0.549,True
39,Potato,16.86,0.742,True
40,Pepper,8.38,0.671,True
41,Soybean,9.22,0.311,False
42,Tomato,11.41,0.296,False
43,Tomato,13.33,0.15,False
44,Tomato,15.75,0.16,False
45,Maize,5.43,0.212,False
46,Soybean,11.22,0.307,False
47,Maize,5.05,0.182,False
48,Maize,8.58,0.834,True
49,Tomato,2.97,0.719,True
50,Tomato,5.98,0.262,False
51,Maize,4.94,0.493,True
52,Tomato,9.09,0.832,True
53,Tomato,12.43,0.559,False
54,Tomato,16.82,0.821,True
55,Maize,9.7,0.835,True
56,Potato,8.06,0.938,True
57,Maize,6.56,0.692,True
58,Soybean,12.59,0.514,False
59,Potato,17.5,0.592,True
60,Pepper,2.91,0.597,True
61,Soybean,4.52,0.917,True
62,Potato,3.1,0.158,False
63,Maize,3.92,0.857,True
64,Soybean,2.64,0.17,False
65,Soybean,10.36,0.895,True
66,Pepper,5.82,0.436,False
67,Pepper,9.32,0.89,True
68,Tomato,9.33,0.949,True
69,Tomato,10.6,0.53,False
70,Pepper,16.09,0.847,True
71,Potato,9.01,0.562,True
72,Soybean,2.13,0.795,True
73,Tomato,17.02,0.214,False
74,Tomato,13.88,0.232,False
75,Potato,13.48,0.273,False
76,Pepper,10.09,0.313,False
77,Tomato,3.48,0.46,False
78,Tomato,7.34,0.211,False
79,Potato,13.86,0.569,True
80,Tomato,3.79,0.903,True
81,Potato,10.73,0.809,True
82,Potato,8.88,0.136,False
83,Tomato,16.38,0.279,False
84,Tomato,7.66,0.576,True
85,Soybean,13.99,0.887,True
86,Potato,17.62,0.789,True
87,Tomato,4.87,0.886,True
88,Maize,14.84,0.834,True
89,Pepper,4.55,0.696,True
90,Tomato,15.74,0.289,False
91,Maize,7.59,0.797,True
92,Potato,2.38,0.264,False
93,Tomato,17.47,0.337,False
94,Maize,12.87,0.817,True
95,Tomato,3.85,0.925,True
96,Pepper,2.61,0.607,True
97,Pepper,8.98,0.937,True
98,Soybean,5.04,0.138,False
99,Soybean,16.81,0.558,True
100,Potato,7.83,0.159,False
101,Pepper,11.97,0.664,True
102,Pepper,10.11,0.667,True
103,Pepper,10.87,0.263,False
104,Maize,12.84,0.867,True
105,Pepper,8.5,0.809,True
106,Potato,8.88,0.593,True
107,Maize,9.07,0.674,True
108,Potato,12.54,0.341,False
109,Soybean,7.36,0.796,True
110,Pepper,5.59,0.269,False
111,Potato,17.74,0.62,True
112,Maize,8.63,0.635,True
113,Maize,9.91,0.307,False
114,Tomato,16.28,0.831,True
115,Maize,5.5,0.783,True
116,Maize,2.8,0.312,False
117,Maize,4.13,0.495,True
118,Soybean,11.53,0.908,True
119,Soybean,15.04,0.858,True
120,Soybean,9.13,0.235,False
121,Maize,6.15,0.31,False
122,Soybean,9.75,0.303,False
123,Pepper,5.75,0.385,True
124,Tomato,4.21,0.297,False
125,Potato,3.03,0.446,False
126,Maize,3.0,0.808,True
127,Soybean,17.14,0.117,False
128,Soybean,8.09,0.105,False
129,Maize,15.66,0.91,True
130,Soybean,14.8,0.863,True
131,Pepper,8.97,0.125,False
132,Maize,13.59,0.814,True
133,Soybean,10.55,0.871,True
134,Tomato,3.34,0.464,True
135,Potato,2.8,0.422,False
136,Pepper,7.4,0.848,True
137,Maize,6.04,0.17,False
138,Soybean,2.83,0.909,True
139,Tomato,14.5,0.654,True
140,Potato,5.19,0.117,False
141,Potato,9.58,0.197,False
142,Maize,13.19,0.752,True
143,Soybean,17.42,0.711,True
144,Potato,17.44,0.192,False
145,Pepper,11.21,0.872,True
146,Potato,3.22,0.687,True
147,Tomato,13.16,0.356,False
148,Tomato,14.74,0.581,False
149,Soybean,8.85,0.415,False
150,Pepper,2.2,0.457,False
