size_m2,bedrooms,dist_km,age_years,bathrooms,price_k
152.0,2.0,2.3,24.0,3.0,513.8
142.0,2.0,6.5,32.0,2.0,412.2
64.0,1.0,4.0,22.0,2.0,218.2
156.0,4.0,7.9,23.0,3.0,524.5
121.0,1.0,3.5,2.0,2.0,414.4
70.0,4.0,6.6,27.0,1.0,233.6
152.0,2.0,6.5,2.0,1.0,448.3
171.0,1.0,1.6,26.0,1.0,516.9
124.0,5.0,4.3,17.0,3.0,457.5
137.0,3.0,5.7,33.0,2.0,415.9
166.0,4.0,6.9,9.0,1.0,524.3
149.0,3.0,2.9,39.0,3.0,501.6
153.0,3.0,2.2,29.0,2.0,514.6
201.0,1.0,5.8,26.0,3.0,574.7
180.0,3.0,6.6,35.0,1.0,513.5
199.0,5.0,3.1,25.0,1.0,629.1
102.0,3.0,1.2,24.0,1.0,371.3
51.0,1.0,7.6,13.0,3.0,161.7
137.0,5.0,3.5,7.0,3.0,510.2
207.0,2.0,4.4,36.0,1.0,605.9
87.0,3.0,6.8,20.0,3.0,302.0
179.0,1.0,5.6,1.0,1.0,544.6
70.0,2.0,6.0,8.0,1.0,239.6
210.0,2.0,2.1,16.0,2.0,657.4
107.0,4.0,4.6,14.0,3.0,400.7
71.0,5.0,5.7,12.0,1.0,257.4
138.0,3.0,2.2,23.0,1.0,432.7
98.0,1.0,1.8,15.0,3.0,358.9
108.0,4.0,7.9,28.0,2.0,359.1
219.0,5.0,4.4,34.0,2.0,674.5
64.0,4.0,2.5,2.0,1.0,300.0
100.0,5.0,8.0,32.0,3.0,361.4
157.0,5.0,7.7,23.0,2.0,509.4
104.0,3.0,4.7,22.0,3.0,386.7
113.0,5.0,7.1,25.0,3.0,388.5
180.0,4.0,1.9,22.0,1.0,608.9
100.0,5.0,2.6,22.0,2.0,397.1
184.0,3.0,5.8,6.0,1.0,522.9
70.0,3.0,6.8,15.0,2.0,241.2
122.0,4.0,6.9,37.0,2.0,366.4
216.0,2.0,3.5,33.0,2.0,671.8
67.0,2.0,7.2,8.0,2.0,211.9
181.0,5.0,6.9,5.0,2.0,598.6
138.0,1.0,7.5,39.0,3.0,386.6
109.0,5.0,6.4,4.0,1.0,377.6
63.0,4.0,5.5,6.0,3.0,285.6
58.0,4.0,4.9,32.0,2.0,242.6
139.0,4.0,3.3,30.0,1.0,440.6
102.0,4.0,7.6,35.0,2.0,306.1
179.0,4.0,7.8,16.0,1.0,514.2
133.0,3.0,2.6,13.0,3.0,514.2
141.0,2.0,2.8,30.0,1.0,420.8
160.0,4.0,4.1,19.0,1.0,515.5
57.0,1.0,3.9,17.0,1.0,169.4
84.0,1.0,8.0,19.0,1.0,196.8
130.0,1.0,1.8,28.0,1.0,385.5
213.0,1.0,0.6,26.0,2.0,674.9
99.0,3.0,4.2,37.0,1.0,291.7
153.0,1.0,1.8,26.0,1.0,442.9
181.0,4.0,3.2,23.0,3.0,618.8
51.0,5.0,6.1,9.0,1.0,205.4
183.0,1.0,5.9,12.0,3.0,536.1
103.0,3.0,2.8,1.0,2.0,392.5
155.0,3.0,4.6,1.0,1.0,473.9
53.0,1.0,4.3,34.0,3.0,213.5
103.0,5.0,5.3,32.0,3.0,369.1
195.0,1.0,2.4,25.0,2.0,586.8
93.0,3.0,4.9,1.0,1.0,315.5
211.0,2.0,7.8,16.0,1.0,606.5
63.0,4.0,4.2,39.0,3.0,240.9
144.0,3.0,7.3,5.0,1.0,432.5
97.0,1.0,3.8,22.0,3.0,345.7
64.0,4.0,3.1,29.0,1.0,245.5
89.0,1.0,5.3,3.0,3.0,292.7
131.0,1.0,5.5,12.0,1.0,369.8
160.0,2.0,7.0,26.0,2.0,482.2
102.0,4.0,2.2,16.0,1.0,372.7
73.0,4.0,4.2,37.0,1.0,274.6
203.0,2.0,4.8,22.0,2.0,615.0
173.0,3.0,6.3,29.0,1.0,516.0
90.0,1.0,0.8,14.0,2.0,337.5
206.0,5.0,8.0,28.0,1.0,599.8
64.0,1.0,4.0,5.0,3.0,278.6
94.0,1.0,2.6,30.0,3.0,331.1
114.0,3.0,7.1,5.0,1.0,351.4
138.0,1.0,6.1,12.0,1.0,395.8
120.0,2.0,7.6,16.0,1.0,342.8
58.0,2.0,3.0,26.0,3.0,257.1
137.0,4.0,4.6,26.0,1.0,419.2
178.0,5.0,4.8,21.0,3.0,610.2
185.0,1.0,7.9,39.0,2.0,475.6
112.0,1.0,1.1,36.0,3.0,378.3
188.0,3.0,2.8,33.0,3.0,609.1
130.0,2.0,1.9,30.0,2.0,423.6
185.0,5.0,2.5,37.0,3.0,655.1
212.0,4.0,4.1,23.0,1.0,666.3
212.0,2.0,3.3,10.0,1.0,646.0
82.0,4.0,3.5,5.0,3.0,359.7
172.0,3.0,6.8,36.0,1.0,500.0
54.0,3.0,7.5,34.0,3.0,186.7
